,시도,시군,업종,업소명,별점,방문자 리뷰수,블로그 리뷰수,"""음식이 맛있어요""","""가성비가 좋아요""","""친절해요""","""양이 많아요""","""재료가 신선해요""","""특별한 메뉴가 있어요""","""매장이 넓어요""","""매장이 청결해요""","""혼밥하기 좋아요""","""화장실이 깨끗해요""","""인테리어가 멋져요""","""단체모임 하기 좋아요""","""주차하기 편해요""","""뷰가 좋아요""","""특별한 날 가기 좋아요""","""좌석이 편해요""","""환기가 잘 돼요""","""디저트가 맛있어요""","""커피가 맛있어요""","""음료가 맛있어요""","""대화하기 좋아요""","""사진이 잘 나와요""","""집중하기 좋아요""","""반찬이 잘 나와요""","""포장이 깔끔해요""","""현지 맛에 가까워요""","""메뉴 구성이 알차요""","""고기 질이 좋아요""","""직접 잘 구워줘요""","""깨끗해요""","""조용히 쉬기 좋아요""","""대중교통이 편해요""","""냉난방이 잘돼요""","""바비큐 해먹기 좋아요 ""","""반려동물과 가기 좋아요""","""아늑해요""","""음식이 빨리 나와요""","""차분한 분위기에요""","""술이 다양해요""","""빵이 맛있어요""","""건강한 맛이에요""","""야외 공간이 멋져요""","""컨셉이 독특해요""","""아이와 가기 좋아요""","""혼술하기 좋아요""","""잡내가 적어요""","""향신료가 강하지 않아요""","""오래 머무르기 좋아요""","""화장실이 잘 되어있어요""","""코스요리가 알차요""","""기본 안주가 좋아요"""
84,제주도,제주시,한식_일반,선이네밥집,4.46,397,126,176,95,63,49,31,6,0,7,28,0,3,1,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,제주도,제주시,한식_육류,숨어있는집 함덕펜션,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,제주도,제주시,기타양식,김녕빵집,4.59,698,257,1,175,184,0,0,108,0,83,0,5,23,0,26,5,0,4,0,0,46,16,4,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,0,0,0,0,0,0,0,0,0,0,0
87,제주도,제주시,한식_일반,소라횟집,,260,226,99,38,33,25,54,4,12,12,3,0,0,5,13,9,3,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
88,제주도,제주시,한식_일반,우리두리,4.54,368,233,216,107,72,79,78,81,4,6,5,1,2,4,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,제주도,제주시,한식_일반,신미국밥,3.95,131,14,37,14,10,7,5,4,2,7,12,2,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,제주도,제주시,한식_찌개류,대복해장국,4.38,263,89,116,37,24,37,30,38,7,7,29,0,0,1,4,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
91,제주도,제주시,한식_일반,만배식당,4.23,245,182,165,127,132,108,74,34,7,15,11,5,1,31,52,4,2,0,0,0,0,0,0,0,0,3,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
92,제주도,제주시,한식_일반,외도우렁이쌈밥,4.57,97,18,42,19,17,12,15,6,5,5,13,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,제주도,제주시,한식_육류,몽돌,,6,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
