,시도,시군,업종,업소명,별점,방문자 리뷰수,블로그 리뷰수,"""음식이 맛있어요""","""가성비가 좋아요""","""반찬이 잘 나와요""","""친절해요""","""재료가 신선해요""","""양이 많아요""","""혼밥하기 좋아요""","""주차하기 편해요""","""매장이 넓어요""","""화장실이 깨끗해요""","""매장이 청결해요""","""단체모임 하기 좋아요""","""뷰가 좋아요""","""인테리어가 멋져요""","""특별한 메뉴가 있어요""","""고기 질이 좋아요""","""특별한 날 가기 좋아요""","""룸이 잘 되어있어요""","""건강한 맛이에요""","""종류가 다양해요""","""컨셉이 독특해요""","""음식이 빨리 나와요""","""현지 맛에 가까워요""","""메뉴 구성이 알차요""","""사진이 잘 나와요""","""음료가 맛있어요""","""커피가 맛있어요""","""디저트가 맛있어요""","""대화하기 좋아요""","""집중하기 좋아요""","""좌석이 편해요""","""차분한 분위기에요""","""직접 잘 구워줘요""","""아이와 가기 좋아요""","""잡내가 적어요""","""깨끗해요""","""조용히 쉬기 좋아요""","""근처에 갈 곳이 많아요""","""냉난방이 잘돼요""","""침구가 좋아요""","""즐길 거리가 많아요""","""물놀이하기 좋아요""","""화장실이 잘 되어있어요""","""방음이 잘돼요""","""대중교통이 편해요""","""전기 사용이 편해요""","""온수가 잘 나와요""","""말 교육이 잘 되어있어요""","""강습 받기 좋아요""","""안전하게 관리해요""","""코스가 길어요""","""시설이 깔끔해요""","""가격이 합리적이에요""","""코스가 다양해요""","""아늑해요""","""호캉스하기 좋아요""","""조식이 맛있어요""","""수영장이 잘 되어있어요""","""기본 안주가 좋아요""","""술이 다양해요""","""오래 머무르기 좋아요""","""혼술하기 좋아요""","""음악이 좋아요""","""향신료가 강하지 않아요""","""야외 공간이 멋져요""","""포장이 깔끔해요""","""취사시설이 잘 되어있어요""","""바비큐 해먹기 좋아요 ""","""코스요리가 알차요""","""수업이 체계적이에요""","""샤워실이 잘 되어있어요""","""최신 장비를 사용해요""","""체험 프로그램이 다양해요""","""물이 깨끗해요""","""비싼 만큼 가치있어요""","""학생과 소통을 잘해요""","""선생님이 열정적이에요""","""맞춤 지도를 잘해줘요""","""상담이 자세해요""","""반려동물과 가기 좋아요""","""품질이 좋아요""","""조리하기 쉬워요""","""조리법 설명이 자세해요""","""라이브공연이 훌륭해요""","""파티하기 좋아요""","""선물하기 좋아요""","""환기가 잘 돼요""","""빵이 맛있어요""","""샐러드바가 잘 되어있어요""","""신선해요""","""원산지 표시가 명확해요""","""부위가 다양해요"""
3894,제주도,제주시,한식,동화로연탄구이,4.88,716,358,435,290,0,269,220,136,11,39,120,29,171,54,10,30,112,7,12,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3895,제주도,제주시,한식,갈치옥,4.49,"1,930","1,200",1116,210,0,529,474,261,9,132,236,93,416,106,796,119,205,0,96,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3896,제주도,제주시,한식,진돼지이도점,,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3897,제주도,제주시,한식,오늘처럼,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3898,제주도,제주시,한식,동막골삼화점,,168,26,73,52,0,36,22,24,13,6,5,2,14,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3899,제주도,제주시,한식,본죽앤비빔밥신제주점,4.36,78,2,29,8,0,23,17,13,13,2,1,1,12,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3900,제주도,제주시,한식,노형스크린골프펍,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3901,제주도,제주시,한식,풍년내장탕해장국,,103,13,82,17,0,50,29,30,17,1,14,0,21,3,1,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3902,제주도,제주시,한식,백가네제주한상,4.75,858,509,371,44,1,254,246,205,5,10,73,143,208,18,60,303,212,0,157,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3903,제주도,제주시,한식,킹콩부대찌개연동점,4.13,36,6,12,7,0,2,4,5,1,0,2,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
